Omschrijving,Kleur,NFC-Waarde,Fashion-Waarde,Technische-Waarde,Culturele-Waarde,Politieke-Waarde,Economische-Waarde;
Electrical car charger,Yellow,45,4,3,5,2,2;
Recycling material. A future with no waste. Set your mark on public property. Do it yourself economy.,Red,52,5,3,5,2,1;
segway,Yellow,45,4,3,5,2,2;
interactive billboard,Yellow,45,4,3,5,2,2;
nfc payment,Yellow,45,4,3,5,2,2;
The automated machines at McDonalds are relatively new but becoming more commonplace.,Yellow,48,1,4,2,3,3;
light up shoes,Yellow,45,4,3,5,2,2;
This is a trial of the virtual reality launched by Samsung.,Blue,45,3,4,5,3,4;
The data knows that we need the medicine and when.,Red,52,5,3,5,2,1;
drone with camera,Yellow,45,4,3,5,2,2;
Different drones for sale in media markt,Blue,56,5,2,5,1,1;
interactive online in store screen,Yellow,45,4,3,5,2,2;
Vr is a way to experience things in new ways and slowly becoming more available and affordable. I imagine VR being very important in the future.,Yellow,48,1,4,2,3,3;
In the picture you see a new advertising campagne from Ziggo inside the Media Markt. The weak singal in here is the use of the round going screens which shows ongoing moving advertising,Yellow,56,3,4,3,2,2;
body piercings,Yellow,45,4,3,5,2,2;
Maybe in the future this silly ice cream object will be replaced by a hologram. A hologram that convince people to get ice cream.. more than it's doing now.,Red,45,4,4,2,4,4;
It is a picture of pallets lying on the ground. The pallets are going to be used in a different way then normal. That way the pallets are being recycled with a new purpose. It is an example of mindful consuming. Using old stuff to create new things or meanings.,Red,50,4,3,2,3,1;
This is the interactive map of the Markthal where you can find different places where to eat and buy different stuffs in the market.,Blue,45,3,4,5,3,4;
3d printer workshop in Hogeschool, Rotterdam,Blue,45,4,2,4,5,3;
People get influenced by the sale signs. Thats when they buy stuff they don't actually need.,Red,52,5,3,5,2,1;
Someone selling art from an seacontainer,Red,56,2,4,5,5,4;
Space for eating is on the top of the restaurant to safe space. Makes it cheaper to rent the location for the owner of a restaurant,Blue,45,5,5,3,1,5;
collision of the old and the new,Yellow,45,4,3,5,2,2;
A cash register without people operating it,Blue,56,5,2,5,1,1;
On this terrace every table was full of writings. People who come here can leave a message. It is about contributing to the world without depending on companies or governments.,Red,50,4,3,2,3,1;
Here you see a group of tourists stepping around the city. They are sightseeing. I think it's a trend, because usually they sit in a bus and pollute the air. In my opinion stepping around the city is mindful consuming.,Red,59,5,5,5,1,2;
It's important to stay hydrated. Drink water instead of soft drinks for a healthier life,Red,52,5,3,5,2,1;
Satisfaction inquiry at the exit of Rotterdam public library,Blue,45,4,2,4,5,3;
A store which you are guided through. It's like a adventure to walk through the floors and see all the products they are selling,Blue,45,5,5,3,1,5;
In this picture you see a big abri which shows not only advertising but also information about the train, metro and bus departures. This is a weak signal because now it's not only used for marketing but also for daily life things.,Yellow,56,3,4,3,2,2;
Shopping mall window of the Bijenkorf. In the future you can see the dress on your own body due to augmented reality.,Yellow,57,5,4,4,2,5;
Touchscreens in restaurants might be a future trend because it makes it a lot more comfortable for consumers to order meals. It's great for those who don't like to wait and can't wait (e.g. for health reasons) in a (long) line, great for people who like technique aso. A quicker process of ordering.,Red,46,2,5,5,4,5;
Boat that is transformed to a chill area on water,Red,56,2,4,5,5,4;
To attract a certain group. They will spend money at your store if you've got a better offer than the rest,Red,52,5,3,5,2,1;
Boxs to keep food to be sold, so the customer don't need to wait and can pay for himself,Red,45,5,5,5,5,4;
You can get more info about shoes on facebook, see the whole collection. So this has to do with reviews.,Yellow,47,4,4,4,3,3;
Will these things still exist in the future?,Green,45,5,3,5,4,3;
It makes human to sit higher, and focused.,Yellow,45,5,2,5,1,2;
A good way to keep the streets clean without puting in a lot of money for keeping the streets clean.,Blue,49,4,2,5,4,2;
VR Phone,Blue,64,5,5,5,3,4;
Why selling so much crap.. If you can analyse what's populair and make space for chill places. Dads and sons that don't want to wait for moms and sisters can relax here to drink some coffee and wait. Make the shops an total experience for al people came in.,Red,45,4,4,2,4,4;
Popularity of e-bikes is rising very fast. Also younger people are starting to buy e-bikes,Green,48,4,4,5,3,1;
Ageing of the population, more and more products are created for the older generation.,Blue,52,4,3,5,2,2;
On this picture you see a regular bike. Which shows us how to be clean and green. Now we also have electric bicycles.. It might become a trend to make bikes whom ride on solar power.,Yellow,57,5,4,4,2,5;
"Different ethnicities will be used as marketing strategies than the ""standard"" white women.,Green,45,5,3,5,4,3";
Parking with license plate,Blue,64,5,5,5,3,4;
This photo is taken in Schoonoord garden (a secret garden). People can grab a book from the bookshelf, sit in the garden to read and then bring it back. This photo is a good example of the sharing economy.,Red,59,5,5,5,1,2;
The population is getting more gender neutraal. Men are wearing make-up and skirts.,Blue,52,4,3,5,2,2;
Deliveroo is about takeaway for the food sector: it makes easier for a lot of restaurants to deliver. People bring food of the restaurants by bike to the customers.,Yellow,45,4,4,5,3,3;
Electric car charging spots,Blue,64,5,5,5,3,4;
Because of the glass walls, it's easier to adjust the surrounding. In a way you're closer to the real world,Red,52,5,3,5,2,1;
It's a parking space for electric cars. The car is charging. It's an Audi, which is not very common. Usually it's a Tesla. This is an innovative signal because maybe in 15 years everybody is driving around in electric cars which is good for the environment. It's a way to collect data from the card you need to use to charge. Privacy*,Green,48,5,4,3,2,3;
New business based on reused and reusable hagas, environment friendly and cheap on the long ride.,Red,45,5,5,5,5,4;
Customers more and more want to have Custom-made products that is adjusted to their specific needs,Green,48,4,4,5,3,1;
Natureware! It's a combination between technology and nature.,Yellow,45,5,2,5,1,2;
We don't really know the trends for this one already, but we're going to discover this in the lessons. This cigarette disposal may be an electronic thing later.,Yellow,47,4,4,4,3,3;
Boxbikes, known in the Netherlands but not in other countries. It is an ecologic way to bring, for example, your childeren to school.,Blue,49,4,2,5,4,2;
There is two singal which is the QR CODE and the Shop can open on sunday. I think if the shops open on sunday the economy and the people can be open the future. And the qr CODE as soon we can this application people can join this application and making new values,Red,46,4,5,5,5,4;
this is a solar panel to charge the car park machine. Everybody using it is able to contribute to the environment safeguard. It represents the green economy values and ethics.,Red,45,5,4,5,5,3;
Everybody wants to get more healthy. It's a trend itself to exercise more. We all have an influence on our own body. You make a difference for a fit community. The health trend is also really influenced by instagram,Red,52,5,3,5,2,1;
It's like a garden in the street. It's free for everyone looking for a place to relax and calm down.,Yellow,45,4,4,5,3,3;
There is two singal which is the QR CODE and the Shop can open on sunday. I think if the shops open on sunday the economy and the people can be open the future. And the qr CODE as soon we can this application people can join this application and making new values,Red,46,4,5,5,5,4;
You can see a station where you are able to shop your dream shoes online. (colour, size) It could improve the online shopping behaviour of the people. As well as the willingness to own such shoes. The privacy could get into danger, as they collect your data like mail adress etc.,Green,48,5,4,3,2,3;
No time for waste! Fast food fast life. Time is money,Yellow,43,4,4,3,5,3;
Transparant design,Blue,64,5,5,5,3,4;
Virtual sports might be a new future trend because it's comfortable for e.g. business people who don't have much free time as they can do some sport at home. Also it's a good alternative when the weather outside is rainy and cold. Also, people who enjoy technique (e.g. video games etc.) will find virtual sport attractive too.,Red,46,2,5,5,4,5;
If everybody is fit the healthcare is going down.,Red,52,5,3,5,2,1;
Games are translating into the real world, this is a real life version of the escape room game you can also play online. Now you can just go and experience it yourself with friends. (Steps in between, like virtual reality game Pokémon Go, have proven to be a great success.),Green,53,5,4,4,3,3;
Art of the street which is sometimes used as protest or information for the people who go around. It is personal expression which is more popular around the world.,Yellow,45,3,3,4,5,2;
This picture shows a good example of how augmented reality and social media are connected to our everyday life.,Blue,45,5,3,2,2,4;
inside mcdonald. a machine to be able to make your own sandwich or choose it quickly from the list. probably in the future there won't be the need of cashiers and waiters.,Red,45,5,4,5,5,3;
Seeing meals in front of you,Blue,64,5,5,5,3,4;
Everybody has a saying in the looks of the room.,Red,52,5,3,5,2,1;
This picture shows us, that advertisement has changed over the years. What is already common at Times Square in NYC is now coming in smaller versions to smaller cities. It also gives the opportunity to show more than only one advertisement.,Blue,45,5,3,2,2,4;
Augmented reality game. You can look through glasses into the world and enrich your reality with virtual elements.,Yellow,45,5,1,2,1,4;
This is a flyer we found at Hogeschool Rotterdam campus Wijnhaven that sums up some guidelines on how you can protect your online privacy at the university, it also raises awareness on online privacy.,Green,53,5,4,4,3,3;
Old school stuffs keep becoming more popular (not just hipster subculture).,Yellow,45,3,3,4,5,2;
Giving a buiding (church) a new function. Social function: giving the refugees a home and a nice place (privacy),Red,45,4,3,4,2,3;
Sign that tell people how to behave in the street,Yellow,45,5,5,5,1,1;
Irobot which cleans the room by itself. 'Internet of things'. You don't need to do it by hand anymore. It also charges itself and helps you out daily.,Yellow,45,5,1,2,1,4;
Drones really affect our privacy. We often don't see them because they are small, fly high and move quickly. But it offers numerous possibilities. It can be useful for photographers, filmmakers and even for farmers.,Green,55,2,4,5,3,2;
Transport in the city (cheap: by foot and cart for kids). Live ecologically and living a 'green lifestyle',Red,45,4,3,4,2,3;
Like us at facebook,Yellow,45,5,5,5,1,1;
charcher point for electric car,Yellow,45,4,4,4,3,3;
Security camera,Yellow,45,4,4,4,3,3;
Nowadays communication is getting more personalized as a growing number of people crave for personalized experiences.,Blue,64,5,5,5,3,4;
Augmented reality merges physical experiences with digital content.,Blue,64,5,5,5,3,4;
The Power of social Influence increases as neighbourhood watch WhatsApp groups allow neighbours to exchange information.,Blue,64,5,5,5,3,4;
Real- life escape games are popping up throughout the world. The games enhance experiences as they offer unique and immersive adventures to their players.,Blue,64,5,5,5,3,4;
Customers continue to yearn for personalized products and services.,Blue,64,5,5,5,3,4;
CentrumXpeditie.nl connects the inhabitants of various cities by encouraging them to share their opinions about different projects to enhance street life.,Blue,64,5,5,5,3,4;
Consumers are smarter and more active in their buying choices. This forces brands to truly innovate in order to rise above the noise.,Blue,64,5,5,5,3,4;
Originally created for the auto industry QR codes appear more frequently to enhance physical experiences.,Blue,64,5,5,5,3,4;
Brands are beginning to target individuals more often in order to encourage people to identify emotionally with them.,Blue,64,5,5,5,3,4;
Digital leaders make use of technology to capture global economies of scale and spot international market opportunities.,Blue,64,5,5,5,3,4;
"A holder for your french fries; an extension of the human body, as you no longer have to hold the pointy sack while eating your fries.,Red,41,4,4,5,2,1";
Consuming in a meaningful way entails more attention is paid to the origin of products and the social significance of organisations. Maybe he is explaining more of the origin of this product. Maybe he don't wan't to just sell his product but maybe his meaning is to be a friend. It's a gesture.,Red,45,4,4,2,4,4;
People can use the machine to get their medicine. The machine knows who is the client,Red,50,3,4,4,4,3;
Knitted Poles as advertisement,Red,64,2,5,2,1,1;
environmentally conscious, ecological, sustainable,Yellow,45,5,5,5,1,1;
This photo shows the identity of the family. The family desired to maintain personal uniqueness. They wrote the text themselves and by the way it’s written, you can determine the names of the parents and their kids. It’s very personal and they expose their data.,Red,59,5,5,5,1,2;
"""Together, we keep the Markthal clean!"" The sign speaks to everyone's responsibility to keep the Markthal clean.,Red,41,4,4,5,2,1";
Tourism is getting more and more popular in the city of Rotterdam,Red,56,2,4,5,5,4;
Human and machine (technology) fuse together. Technology retreats into the background and we can even see the first signs of wearable technology moving to clothing (on our body) and that it will eventually disappear into our body. Maybe in the future we can take a picture by a blink in an eye.,Red,45,4,4,2,4,4;
When your religion becomes a controversial subject which the consequences will effect generations to come.,Green,45,5,3,5,4,3;
Social media and the real world go hand in hand to create the perfect experience,Red,50,3,4,4,4,3;
"Here you see augmented reality with the app Pokemon Go. It is a new way of gaming. Instead of looking at a screen at home, you have to go outside (with your screen) to play the game. You can see the game virtually through your screen, but in the ""real world"". By the way Akke is posing with Squirtle and I catched him! (Not Akke, but Squirtle).,Red,50,4,3,2,3,1";
Consumers will increasingly ‘shop’ with their profiles in the future.,Red,45,4,4,2,4,4;
contra digital. We let the nature take control.,Red,52,5,3,5,2,1;
with posting pictures on instagram you can influence many people around you, so you can put it under everybody influencer. but you also can put it under privacy, because it is about lingerie and posting pictures about it. and with all the posting via instagram you could say there is a sign of big data, because many people share their pictures with everybody and didn't put their account on 'just friends' -> this is how we see the real world : with instagram pictures,Blue,52,5,4,4,1,1;
The way we pay and how we can be followed in our purcases,Yellow,45,5,5,5,1,1;
This board gives the inhabitants real time information,Red,50,3,4,4,4,3;
A SCIENCE-FICTION GAME SET IN AN INFINITE PROCEDURALLY GENERATED GALAXY,Red,64,2,5,2,1,1;
Echo of baby, The data of the baby and mother's health is recorded with the technology. It is also now possible to find complications in an early stage so parent can make a choice to keep a baby or not which can be born with for example : a handicap,Red,56,5,4,5,2,3;
shift from bike, to motorcycle/ scooter,Yellow,45,5,2,5,1,2;
A table made out of old pallets; an economically conscious solution to the need for furniture.,Red,41,4,4,5,2,1
Supporter van Schoon: campaign that is trying to give a good image to throwing your stuff away. Especially at an indoor place, like the Markthal, has a clear message: throw your stuff away and keep it neat in here.,Red,62,4,4,5,2,4;
Dr. Martens painted this footprint in the center of Rotterdam. People walking by will wonder where it is leading to. When you look closer, you will see that it is an advertisement from Dr. Martens.,Red,59,5,5,5,1,2;
A alternative man with tattoos but in contrast with sleek hair. More and more alternative people are showing up in advertisements.,Blue,52,4,3,5,2,2;
DIY culture in food! More and more (soup) packets are being made. People want to make things themselves and they want autenthic, fresh and healthy food.,Blue,52,4,3,5,2,2;
Of course this is privacy and big data because everybody is tracing your travelling and wherabouts. But this is also about the queue in front of the check-in/out pole. The goverment is trying to innovate and maybe earn more money but they are not thinking about the people and how the space will work and look!,Blue,52,4,3,5,2,2;
A pair of computers in the store Pull & Bear. Everyone can upload their own message about Pull&Bear on their feed on Facebook, Twitter etc. They can also take an picture in the photobooth in the same store and share them with their friends. This helps the store with free advertising, combined with the power of data.,Blue,52,5,4,4,1,1;
Make your own Poké Bowl with different ingredients.,Green,45,5,3,5,4,3;
You can choose your favorite music to listen carefully to and eventually buy the new cd. This is a smart marketing idea from this company, which will help them improve their economic situation -> consuments will buy faster and will spread the word amongst their friends,Blue,52,5,4,4,1,1;
,Yellow,45,2,2,4,4,4;
Clothing is not gender related anymore. The gender line is becoming thinner,Green,45,5,3,5,4,3;
Advertising on a new level: stickering and put your message everywhere around town,Blue,52,5,4,4,1,1;
Jeffree Star is a influencer he is a celebrity on Youtube and has his own make-up line that sells out really soon. With Jeffree Star you also have Gigi Gorgeous who is transgender and Drag Race that is getting more popular. The lines between gender is getting thinner but also the rise of celebrity's that are for our knowing strange and transgender, gay ect. is very interesting!,Blue,52,4,3,5,2,2;
expressing herself with flower.,Yellow,45,5,2,5,1,2;
Knitting around lantarns to advertise for your company.,Blue,52,5,4,4,1,1;
Drones are used for al kind of stuff. The privacy with al the cameras onboard is questionable.. did you know amazon is already testing a delivery service?,Red,64,2,5,2,1,1;
Big data will appear in new ways and there will be more information available for people.,Blue,52,5,4,4,1,1;
The desire for a smoke-free generation,Green,45,5,3,5,4,3;
Everybody can join, make a new area with your own signature,Yellow,45,5,2,5,1,2;
Tutorials how you change the your face with make up. #contour #baking,Green,45,5,3,5,4,3;
DIY medication: with a prescription from the doctor you can fast get your mediaction. Your personal information is stored so big data and privacy are important.,Blue,52,5,4,4,1,1;
The water taxis are an extension of human movement. They provide transport over water with a speed the human body could not achieve on its own.,Red,41,4,4,5,2,1;
silent disco,Yellow,45,5,2,5,1,2;
When you're using Instagram and other social platforms to sell your body.,Green,45,5,3,5,4,3;
The interaction between human and machine has now reached a certain phase of maturity. Machines can recognize peoples faces with their personal data.,Red,45,4,4,2,4,4;
People wants to have common thing very special. Seeking originality,Yellow,45,5,2,5,1,2;
This store uses VR to create a new experience for the costumer,Red,50,3,4,4,4,3;
In the future we don't need keys anymore. We can unlock our house, car etc. by just our finger recognition,Red,45,4,4,2,4,4;
You can feel you are in garden even though you're inside the building.,Yellow,45,5,2,5,1,2;
Parents taking over-protective measures of their child, so they can do their own thing while out with him. They take measurements in their own hands, influencing his safety themselves.,Red,41,4,4,5,2,1;
reuse the abandoned building into cafe,Yellow,45,5,2,5,1,2;
Cables are past. In the future we won't see many cables anymore.,Red,45,4,4,2,4,4;
people are communicating in the city and trying te create a form of awareness,Red,50,3,4,4,4,3;
Putting the ad on a bike is an economically efficient way of promoting their service all around town.,Red,41,4,4,5,2,1;
This crossfit centre in Prague is an example of the economy and value trend because of the materials the furniture is made. The bar is made out of pallets instead of buying a more expensive one. It gives the room a more industrial look, is cheap and makes something more valuable if you put personal effort on it. Also crossfit is a trend itself. It's about sharing your archievements of social media and reaching goals in getting fit.,Red,56,5,4,5,2,3;
Fritz-kola. a Self made Kola that became a hit. I had this in a Donner restaurant with fairly new concept. Healthy donner. The sauces are made on a yoghurt basis. and they have Beef donner with has less fat in it that lam.,Red,64,2,5,2,1,1;
A sense of disconnection. After the digitalization we're all still getting used to. Its so nice to just disconnect now and then.,Red,64,2,5,2,1,1;
Just an object that is made out things used to be used before.,Red,45,4,4,2,4,4;
This painting is done by a street artist trying to influence the neighborhood in a positive way,Red,50,3,4,4,4,3;
In the future we are not the smartest thing in the room or building it is the room or building itself.,Red,45,4,4,2,4,4;
No HEADPHONEJACK? Courage? or foolish? Well.. Steve always said Stay hungry, stay foolish.,Red,64,2,5,2,1,1;
"This beam is rotten. To prevent the beam from breaking, they put steel beams next to it. this solution was made when humans saw that the beam was rotten. When the power of data was involved in this case, the problem could have been fixed way earlier. If technology was inside of that beam we would be earlier aware of the flaws of the material.	Climate change can have an indirect influence on the value of properties. floating houses,Red,52,5,3,5,2,1";
An old crate repurposed to carry things on a bike. This also makes it an extension, as it enables the user to transport more things by bike.,Red,41,4,4,5,2,1;
Rooftop useage is getting more commen now a days,Red,64,2,5,2,1,1;
Fries holder, you don't need to carry your fries and use your hands for other things.,Green,45,5,3,5,4,3;
Lumee is a phonecase that helps you to make the perfect selfie.,Green,45,5,3,5,4,3;
We're going vintage. Everything was better back in the days. We're afraid to move forward in the digital era maybe.,Red,52,5,3,5,2,1;
A fan to cool off the people sitting at the tables. It's an extension to make the environment more pleasant. The fact that visitors are able to reach it themselves suggests that they decide whether it's on or off.,Red,41,4,4,5,2,1;
3D graffiti, from one point you can take a picture and post it on your social media.,Green,45,5,3,5,4,3;
Vlogs. Kids watch these video's because they want te be like them, they want to be along. Also it is a way of expression yourself. On-demand, without a parents,Red,45,4,4,2,4,4;
The way how we pay is changing, from money to card to mobile. Its an device we always carry around with us.,Yellow,45,5,5,5,1,1;
Transparant view of the residents of the building. Everyone who walks by can also recognize the etnic residents.,Red,56,5,4,5,2,3;
Using food coloring makes the food look like fake and not natural.,Green,45,5,3,5,4,3;
On the side you can read the history of Rotterdam. The experience of going up changes and gives meaning,Green,45,5,3,5,4,3;
In the last weeks of the summer a new concept of a pop-up bar appeard on the noordplein. The bar was created of old seacontainers and the stuff they use there. Materials did get an second change,Yellow,45,5,5,5,1,1;
Some innovations are made by looking at nature (animals) and their abilities to make stuff easier. Some ways are integrated in technology to extend human boundaries.,Red,56,5,4,5,2,3;
The garage collects data on how many cars are parked, which is then displayed at the entrance. With this data, businesses can anticipate which days are crowded and which aren't.,Red,41,4,4,5,2,1;
Men are putting make-up and providing a new target group for make-up brands. Also women are buying make-up products that are made by male make-up artist.,Green,45,5,3,5,4,3;
